RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
61991,11040,New York,1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473700,508500,480400,496800,468800,471400,456900,460300,468900,461800,457600,457600,462800,467200,441400,433600,435300,443900,444800,421800,446500,460300,461600,447400,423200,434900,437300,460600,464400,450400,468e3,477200,510600,495900,503700,492800,493700,504200,507300,511800,491100,519200,518400,524300,489100,504900,500100,523700,522200,532800,531700,511600,542500,540400,558e3,531600,538e3,545500,545500,544200,550200,547200,547400,548300,563800,584600,585400,588300,617500,628400,644100,617500,626200,643800,66e4,683500,669800,653600,645700,637500,640200,628800,630900,635500,618200,624300,615900,630100,641400,671100,681400,683100,657200,673500,663500,675800,
97007,92707,California,1558,,,,,,,,,,,,,,,,,,220100,227100,242400,252e3,251800,260700,248900,247800,239500,248200,251e3,249400,241600,250200,254500,261200,249400,232400,238900,236400,247900,238300,226800,209500,215100,231e3,242900,236900,24e4,250900,266600,257300,241400,222900,237100,227e3,247300,249900,277600,271800,276600,291500,288300,291e3,301600,330100,335800,333900,315900,316800,317700,340900,342800,338500,340700,341400,342700,336200,341e3,354900,369100,364500,363200,363600,382900,388400,384600,389300,385300,383400,366700,349700,343800,349200,372900,376100,376900,371500,374900,396600,386200,385e3,380200,386100,405400,414100,420800,419200,401700,418200,416300,418400,425900,440700,447400,448300,436800,438700,426800,415e3,418500,429100,449300,476e3,487e3,475600,474300,470900,497300,466700,420900,394700,441100
74237,37206,Tennessee,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152600,155600,166100,159300,165100,158500,162e3,154800,162400,168700,175100,175200,171500,182100,180500,201e3,189e3,200700,188800,197700,202800,205e3,208400,204100,204e3,205200,212e3,209700,213200,199600,207700,211800,222200,226700,219700,219500,222100,234100,234600,248200,249900,264800,259700,248200,238600,241e3,260700,276900,264400,264300,266700,275500,274600,279e3,282900,291900,302100,301900,3e5,295300,307400,308100,317500,320400,334400,317300,305900,297800,303600,305900,329800,336700,349800,330600,336700,347100,356300,363500,351100,364200,360100,365900,343600,356500,357100,359200
99576,98116,Washington,1560,506800,471500,475800,478300,458900,447e3,421500,419100,428900,424400,470400,518800,525700,481700,412400,401600,392200,389300,378e3,393e3,408200,440100,449600,455e3,442100,433900,416700,406600,39e4,393700,411900,399600,398900,384300,404200,448100,452900,426200,365900,350200,363300,390400,381e3,377e3,379600,400800,384e3,395300,410900,437800,413300,415100,404600,406800,400900,421e3,438600,461300,450600,434300,413e3,403e3,416400,423500,437400,435100,439700,444500,449900,442e3,512400,529400,532500,470300,470200,464700,494800,517600,536700,506700,485e3,526100,534100,538700,507300,514300,499400,495500,504e3,531400,557e3,565200,579200,580600,647900,637400,655400,595e3,599500,6e5,600300,598900,576100,591100,593100,617200,628e3,642900,634400,648200,657400,677200,665300,678600,675500,678100,672500,689100,772800,812e3,827200,764200,725600,696600,693400,699500,729400,705100,727200,731700
95809,89113,Nevada,1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211700,207300,210800,206600,217600,224300,233100,231400,229100,223600,214100,216700,226100,244900,245900,245200,237900,245100,238100,238900,206e3,214200,215200,248500,247100,245600,243600,269200,275700,272100,254100,266700,268900,299800,301800,326900,318800,327900,327700,322700,339e3,348300,329300
63967,15236,Pennsylvania,1562,123500,127200,128200,121900,122800,119200,116500,111900,107700,106200,112400,118900,123300,123800,121900,122100,118500,118e3,117300,120200,122800,120900,128600,125e3,131e3,123100,127900,125e3,127100,125300,129100,130600,124600,118700,115200,114600,116200,112500,119600,117100,12e4,122900,127600,125400,120400,119400,127500,132700,133200,128e3,127800,127500,125200,125400,124700,127500,125600,127900,134200,136500,136e3,132300,132100,136500,138100,133100,127800,126100,130700,129100,129e3,129800,137600,141700,139300,132800,129400,130500,134200,131200,130100,126700,122200,124300,126600,135600,138100,136300,136300,136700,140800,144700,145500,148500,145100,146200,143100,145900,146100,151200,149500,150100,151900,157e3,154700,155800,154200,154200,152e3,149200,151e3,149300,153600,155900,153100,150400,152300,155500,155e3,150600,157500,160300,163600,161500,164e3,163300,165700,166600,,
91877,77365,Texas,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174800,169900,165100,168e3,158100,156500,164900,179900,173200,170300,175300,174200,174900,160600,172400,172400,187800,18e4,187400,177900,186300,190300,186100,183900,174100,190200,186900,197500,190300,199e3,193200,186e3,181900,187200,192600,192700,203600,204200,206200,196e3,202e3,209900,201500,198400,203400,206900,211100,211e3,225e3,216900,210900,210700,208900,204500,203200,208400,210300,204700,215600,220200,235200,222700,217400,215800,225600,223100,223400,211800,218500,202500,226500
69454,27614,North Carolina,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,295400,282500,270200,267500,274300,308700,317e3,360400,365900,351700,304200,260100,248800,254200,283600,287400,29e4,269800,284600,291200,325300,308300,307500,274200,284100,271e3,266900,270100,278900,275700,282300,292100,296900,293800,290400,29e4,267800,266600,282900,323700,320900,314900,295200,299600,305500,308e3,307500,305400,286800,291800,295400,310100,322600,329200,345100,328300,314700,309e3,289300,305700,312400,338600,323600,315e3,321e3,325900,321e3,325500,353800,369100,356100,339500,334700,342600,318300,316400,311200,324500,334900,325800,337300,327200,342700,331200,332100,325900,340300,353200,344700,342600,327100,340300,331500,350800,357600,349200,348500,337700,335600,335100,348100,387900,392300
77942,46062,Indiana,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168400,164e3,156600,149800,155200,161800,166800,171500,176100,170800,170700,167500,182200,164500,166500,156100,158900,150500,155700,159800,168e3,161400,156400,147300,155500,160900,169e3,171800,177600,176700,187e3,208800,210100,201600,176400,181700,180800,177e3,176400,179800,188100,191e3,190400,190500,19e4,184800,185100,185100,188900,204200,205400,201700,194100,193200,195800,190300,193600,199800,208700,208500,205300,197800,195200,190500,185600,185700,188700,194200,197700,200100,203200,201800,205200,210500,219500,226300,227300,240300,248100,258200,252700,253700,259e3,264900,290800,282100,289900,279300,280600,273300,250300,243800,244e3,245900,249100,239e3,242700
92034,77571,Texas,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131e3,130100,127e3,133200,133600,136900,132800,136800,139100,142100,143500,140100,141100,141800,146500,144900,146100,142700,150800,149400,150800,146300,145100,147e3,153800,157100,162100,154300,157200,155e3,160100,157900,164200,168900,171300,168800,169e3,174100,175800,176800,171800,174700,177500,181600,187400,183e3,186600,180200,178300,179800,178400,183300,176700,178500,175400,177400
