RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
208709,Brookline,Pennsylvania,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82100,79400,76500,74600,68500,69900,67100,82e3,83100,90500,81800,84300,82600,81200,84e3,81700,89400,84700,82400,80700,83700,84200,83200,82500,82100,82600,83300,86700,88800,88200,87400,86e3,86200,88100,85600,84300,81100,84800,81300,82700,91800,100500,106700,97e3,95700,90200,92900,93200,97900,86500,80500,83e3,91e3,96600,84500,91600,93100,101700,103800,106200,115400,105900,107200,99100,108400,111400,115100,117500,105e3,110800,113600,129400,126600,122500,116300,114700,120600,122700,125100,124300,125400,133400,142100,147800,139200,
274388,MacDonald Ranch,Nevada,498,299400,273e3,287300,273500,271300,256700,265700,265600,265100,263700,260600,257500,268e3,252400,235600,197600,194700,214400,223300,216100,196e3,186300,193600,185e3,189100,179600,193e3,212900,209200,199500,193500,197800,206e3,185400,186700,189e3,183700,184500,174200,178500,177400,172100,174900,182200,176900,176100,166100,177100,165900,184e3,216300,220400,205300,191900,185400,203400,189900,207e3,213900,212200,238100,241200,256300,245100,230200,230100,230700,268100,265400,265300,255200,239900,235300,198300,226700,231800,243800,236e3,240700,236300,243100,240900,251e3,249100,253e3,248900,245600,244300,253500,258300,241900,253e3,277700,300700,282500,257100,269300,271200,263100,244100,235200,240800,235e3,240100,237700,233600,239300,244700,255800,262500,281e3,297700,309700,309300,294600,303900,275500,299e3,280200,305600,336400,349700,380500,371900,373300,380900,361900,365200,319e3,298300
4748,Fords,New Jersey,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244700,236e3,231e3,216500,213e3,208800,206700,198300,197400,208600,220300,230400,228100,205200,196200,197900,223900,226400,250300,263e3,262300,231600,221e3,233800,241600,243800,247300,254700,258100,251400,255500,250200,245500,226600,237800,233100,235700,224400,225900,234800,230900,229e3,232500,244900,255100,257200,249600,234e3,239100,242500,257e3,247200,253400,253300,243800,239400,232300,255500,238100,243600,245200,275500,272100,268900,268800,288100,298600,285700,265900,243100,237800,246800,,,,,,
250050,Beacon Hill,Washington,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361400,367e3,387400,412e3,398500,393800,428500,461900,474400,449400,451500,451e3,431e3,413100,400800,417800,425200,441200,435500,453e3,453300,455200,474e3,481200,510100,527900,529200,512500,513300,534500,562e3,568100,576700,575300,548400,558400,586500,628800,594300,573300,537200,535500,527500,540200
344019,Admiral,Washington,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460300,451400,440400,441900,427500,428400,436800,449700,453300,440300,444200,440800,443200,455700,468400,462300,424800,433500,444600,464500,426500,435400,456400,497100,497500,491800,498200,531700,549500,545200,512900,536200,562e3,541100,496200,486400,526700,544900,558900,560100,560400,560400,567500,612800,619e3,626800,684400,687900,684400,606100,597700,603700,597600,622800,650300,644500,613900,519300,534800,576e3,690400,683700,675600,658900,709900,701600,709200,683700,675800,706700,762700,788700,771100,734e3,769600,790900,772500,771300,701700,772900,704200
764222,Midtown,California,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481900,513100,520700,535900,541100,533e3,544e3,550800,561200,574900,561e3,560600,51e4,500300,512200,548300,535e3,523600,591200,623e3,621700,549e3,54e4,541400,562400,562300,564600,556200,548300,568700,557700,573700,585900,581100,601100,598400,612100,597800,587100,591600,608500,609700,606900,581600,584600,599600,656500,636700,634500,611900,599800,574200,572800,621100,698400,693600,709500,648e3,714100,665300,726900,667900,677100,646e3,650200,705700
275284,San Carlos,California,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293800,331100,333400,389e3,404600,370500,373600,35e4,405200,438600,469400,435400,421e3,413200,466900,475300,442500,413400,381600,392700,408200,422900,459100,462400,488700,482700,462700,446e3,439400,472100,497400,513300,479200,480800,440900,454900,461e3,489700,507700,497500,485700,482400,526200,554500,590800,595900,599100,507800,488800,477e3,534900,514700,543700,546e3,519800,492600,444700,447100,439700,498800,502100,514800,485400,539300,592500,587900,588e3,483700,455800,470400,543400,615100,588e3,580800,512400,519e3,537200,518600,542200,546500
268242,La Sierra South,California,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288100,314300,322300,325900,312900,318900,315700,313400,320400,323800,329500,327600,330800,335300,344900,341400,346400,339400,357e3,356900,363500,359900,365300,367100,359e3,350300,342800,351800,359100,367100,364300,360800,369700,379500,390800,385e3,379700,390300,4e5,408600,402100,401800,406600,407500,420900,424100,438100,419200,404800,383600
116692,Montalvo,California,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441200,439e3,398500,4e5,402700,414900,423400,439e3,429200,415500,413600,421700,434200,428700,436100,433e3,427400,416700,414300,452300,455300,470100,454400,464e3,482200,485300,496700,489300,468200,458900,435100,439800,454700
271932,North Beacon Hill,Washington,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422600,414e3,405700,389e3,390500,382e3,392400,442800,454400,453300,423200,428200,435600,452500,423e3,437200,433800,510900,536700,553900,557600,533400,518600,495600,539100,573500,573200,572e3,61e4,68e4,642800,618600,639700,7e5,725200,674400,679400,703800,737200,706300,667100,628200,634700
